"filename", "language", "YAML", "Dart", "XML", "comment", "blank", "total"
"c:\Users\h\Downloads\App\wms\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 1, 1, 2, 4
"c:\Users\h\Downloads\App\wms\lib\CardTest.dart", "Dart", 0, 4, 0, 0, 3, 7
"c:\Users\h\Downloads\App\wms\lib\form.dart", "Dart", 0, 274, 0, 0, 14, 288
"c:\Users\h\Downloads\App\wms\lib\grid.dart", "Dart", 0, 611, 0, 0, 46, 657
"c:\Users\h\Downloads\App\wms\lib\home.dart", "Dart", 0, -13, 0, 0, 0, -13
"c:\Users\h\Downloads\App\wms\lib\main.dart", "Dart", 0, -6, 0, 6, 0, 0
"c:\Users\h\Downloads\App\wms\lib\test.dart", "Dart", 0, 65, 0, 0, -9, 56
"c:\Users\h\Downloads\App\wms\lib\test2.dart", "Dart", 0, 0, 0, 0, 1, 1
"c:\Users\h\Downloads\App\wms\pubspec.yaml", "YAML", 1, 0, 0, 0, 0, 1
"Total", "-", 1, 935, 1, 7, 57, 1001