"filename", "language", "JSON", "HTML", "C++", "Markdown", "Dart", "YAML", "Swift", "XML", "Groovy", "Properties", "comment", "blank", "total"
"c:\Users\h\Downloads\App\wms\README.md", "Markdown", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 7, 17
"c:\Users\h\Downloads\App\wms\analysis_options.yaml", "YAML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 22, 4, 29
"c:\Users\h\Downloads\App\wms\android\app\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 44, 0, 6, 9, 59
"c:\Users\h\Downloads\App\wms\android\app\src\debug\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\h\Downloads\App\wms\android\app\src\main\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 12, 3, 51
"c:\Users\h\Downloads\App\wms\android\app\src\main\res\drawable-v21\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\h\Downloads\App\wms\android\app\src\main\res\drawable\launch_background.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 7, 2, 13
"c:\Users\h\Downloads\App\wms\android\app\src\main\res\values-night\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\h\Downloads\App\wms\android\app\src\main\res\values\styles.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 9, 1, 19
"c:\Users\h\Downloads\App\wms\android\app\src\profile\AndroidManifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 3, 0, 0, 4, 1, 8
"c:\Users\h\Downloads\App\wms\android\build.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 3, 19
"c:\Users\h\Downloads\App\wms\android\gradle.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 0, 1, 4
"c:\Users\h\Downloads\App\wms\android\gradle\wrapper\gradle-wrapper.properties", "Properties", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 1, 6
"c:\Users\h\Downloads\App\wms\android\settings.gradle", "Groovy", 0, 0, 0, 0, 0, 0, 0, 0, 21, 0, 0, 5, 26
"c:\Users\h\Downloads\App\wms\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\Users\h\Downloads\App\wms\ios\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 2, 14
"c:\Users\h\Downloads\App\wms\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"c:\Users\h\Downloads\App\wms\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"c:\Users\h\Downloads\App\wms\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\h\Downloads\App\wms\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 36, 0, 0, 1, 1, 38
"c:\Users\h\Downloads\App\wms\ios\Runner\Base.lproj\Main.storyboard", "XML", 0, 0, 0, 0, 0, 0, 0, 25, 0, 0, 1, 1, 27
"c:\Users\h\Downloads\App\wms\ios\Runner\Runner-Bridging-Header.h", "C++", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"c:\Users\h\Downloads\App\wms\lib\CardTest.dart", "Dart", 0, 0, 0, 0, 459, 0, 0, 0, 0, 0, 0, 29, 488
"c:\Users\h\Downloads\App\wms\lib\form.dart", "Dart", 0, 0, 0, 0, 644, 0, 0, 0, 0, 0, 0, 47, 691
"c:\Users\h\Downloads\App\wms\lib\grid.dart", "Dart", 0, 0, 0, 0, 611, 0, 0, 0, 0, 0, 0, 46, 657
"c:\Users\h\Downloads\App\wms\lib\home.dart", "Dart", 0, 0, 0, 0, 69, 0, 0, 0, 0, 0, 0, 9, 78
"c:\Users\h\Downloads\App\wms\lib\main.dart", "Dart", 0, 0, 0, 0, 62, 0, 0, 0, 0, 0, 6, 8, 76
"c:\Users\h\Downloads\App\wms\lib\test.dart", "Dart", 0, 0, 0, 0, 147, 0, 0, 0, 0, 0, 0, 7, 154
"c:\Users\h\Downloads\App\wms\lib\test2.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\h\Downloads\App\wms\linux\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\h\Downloads\App\wms\linux\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\h\Downloads\App\wms\linux\main.cc", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"c:\Users\h\Downloads\App\wms\linux\my_application.cc", "C++", 0, 0, 82, 0, 0, 0, 0, 0, 0, 0, 17, 26, 125
"c:\Users\h\Downloads\App\wms\linux\my_application.h", "C++", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 7, 5, 19
"c:\Users\h\Downloads\App\wms\macos\Flutter\GeneratedPluginRegistrant.swift", "Swift", 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 3, 4, 11
"c:\Users\h\Downloads\App\wms\macos\RunnerTests\RunnerTests.swift", "Swift", 0, 0, 0, 0, 0, 0, 7, 0, 0, 0, 2, 4, 13
"c:\Users\h\Downloads\App\wms\macos\Runner\AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 2, 10
"c:\Users\h\Downloads\App\wms\macos\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 68, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 69
"c:\Users\h\Downloads\App\wms\macos\Runner\Base.lproj\MainMenu.xib", "XML", 0, 0, 0, 0, 0, 0, 0, 343, 0, 0, 0, 1, 344
"c:\Users\h\Downloads\App\wms\macos\Runner\MainFlutterWindow.swift", "Swift", 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 0, 4, 16
"c:\Users\h\Downloads\App\wms\pubspec.yaml", "YAML", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 61, 15, 94
"c:\Users\h\Downloads\App\wms\test\widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 10, 7, 31
"c:\Users\h\Downloads\App\wms\web\index.html", "HTML", 0, 19, 0, 0, 0, 0, 0, 0, 0, 0, 15, 5, 39
"c:\Users\h\Downloads\App\wms\web\manifest.json", "JSON", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 36
"c:\Users\h\Downloads\App\wms\windows\flutter\generated_plugin_registrant.cc", "C++", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 4, 5, 12
"c:\Users\h\Downloads\App\wms\windows\flutter\generated_plugin_registrant.h", "C++", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5, 6, 16
"c:\Users\h\Downloads\App\wms\windows\runner\flutter_window.cpp", "C++", 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 7, 16, 72
"c:\Users\h\Downloads\App\wms\windows\runner\flutter_window.h", "C++", 0, 0, 20, 0, 0, 0, 0, 0, 0, 0, 5, 9, 34
"c:\Users\h\Downloads\App\wms\windows\runner\main.cpp", "C++", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 4, 10, 44
"c:\Users\h\Downloads\App\wms\windows\runner\resource.h", "C++", 0, 0, 9, 0, 0, 0, 0, 0, 0, 0, 6, 2, 17
"c:\Users\h\Downloads\App\wms\windows\runner\utils.cpp", "C++", 0, 0, 54, 0, 0, 0, 0, 0, 0, 0, 2, 10, 66
"c:\Users\h\Downloads\App\wms\windows\runner\utils.h", "C++", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 6, 6, 20
"c:\Users\h\Downloads\App\wms\windows\runner\win32_window.cpp", "C++", 0, 0, 210, 0, 0, 0, 0, 0, 0, 0, 24, 55, 289
"c:\Users\h\Downloads\App\wms\windows\runner\win32_window.h", "C++", 0, 0, 48, 0, 0, 0, 0, 0, 0, 0, 31, 24, 103
"Total", "-", 248, 19, 539, 13, 2006, 21, 50, 472, 81, 8, 308, 432, 4197